sample_id,timestamp,dl_mcs,ul_mcs,dl_snr_db,ul_snr_db,dl_rssi_dbm,ul_rssi_dbm,dl_rate_raw,dl_rate_mbps,source
1,2026-01-25 19:38:26-05:00,104.0,104.0,21.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
2,2026-01-25 20:35:01-05:00,105.0,105.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
3,2026-01-25 21:36:01-05:00,103.0,105.0,21.0,22.0,-76.0,-76.0,68M,68.0,anonymized_sample
4,2026-01-25 22:32:01-05:00,104.0,104.0,22.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
5,2026-01-25 23:28:01-05:00,104.0,104.0,21.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
6,2026-01-26 00:21:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
7,2026-01-26 01:12:02-05:00,105.0,103.0,22.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
8,2026-01-26 01:57:01-05:00,106.0,105.0,22.0,23.0,-76.0,-75.0,154M,154.0,anonymized_sample
9,2026-01-26 02:43:01-05:00,105.0,105.0,23.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
10,2026-01-26 03:32:01-05:00,105.0,105.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
11,2026-01-26 04:17:01-05:00,106.0,105.0,22.0,22.0,-76.0,-78.0,154M,154.0,anonymized_sample
12,2026-01-26 05:04:01-05:00,105.0,105.0,22.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
13,2026-01-26 05:49:01-05:00,105.0,105.0,22.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
14,2026-01-26 06:41:01-05:00,105.0,105.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
15,2026-01-26 07:26:01-05:00,105.0,105.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
16,2026-01-26 08:11:01-05:00,105.0,104.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
17,2026-01-26 09:03:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
18,2026-01-26 09:48:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
19,2026-01-26 10:30:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
20,2026-01-26 11:16:01-05:00,105.0,105.0,21.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
21,2026-01-26 12:05:01-05:00,105.0,105.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
22,2026-01-26 12:50:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
23,2026-01-26 13:38:01-05:00,105.0,105.0,22.0,23.0,-74.0,-75.0,137M,137.0,anonymized_sample
24,2026-01-26 14:23:01-05:00,106.0,104.0,21.0,21.0,-75.0,-77.0,154M,154.0,anonymized_sample
25,2026-01-26 15:11:01-05:00,105.0,104.0,21.0,21.0,-77.0,-77.0,137M,137.0,anonymized_sample
26,2026-01-26 15:58:01-05:00,104.0,104.0,21.0,21.0,-77.0,-77.0,103M,103.0,anonymized_sample
27,2026-01-26 16:45:01-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
28,2026-01-26 17:31:01-05:00,104.0,104.0,20.0,22.0,-78.0,-76.0,103M,103.0,anonymized_sample
29,2026-01-26 18:18:01-05:00,104.0,104.0,21.0,21.0,-77.0,-77.0,103M,103.0,anonymized_sample
30,2026-01-26 19:01:01-05:00,105.0,104.0,20.0,22.0,-78.0,-76.0,137M,137.0,anonymized_sample
31,2026-01-26 19:50:01-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
32,2026-01-26 20:38:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
33,2026-01-26 21:22:01-05:00,104.0,105.0,20.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
34,2026-01-26 22:12:01-05:00,104.0,104.0,24.0,22.0,-74.0,-76.0,103M,103.0,anonymized_sample
35,2026-01-26 22:59:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
36,2026-01-26 23:45:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
37,2026-01-27 00:33:02-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
38,2026-01-27 01:21:01-05:00,104.0,105.0,21.0,23.0,-76.0,-75.0,103M,103.0,anonymized_sample
39,2026-01-27 02:08:01-05:00,105.0,105.0,21.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
40,2026-01-27 02:59:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
41,2026-01-27 03:54:01-05:00,106.0,105.0,21.0,22.0,-77.0,-78.0,154M,154.0,anonymized_sample
42,2026-01-27 04:48:01-05:00,106.0,105.0,21.0,23.0,-77.0,-75.0,154M,154.0,anonymized_sample
43,2026-01-27 05:36:01-05:00,105.0,105.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
44,2026-01-27 06:28:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
45,2026-01-27 07:14:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
46,2026-01-27 08:00:01-05:00,104.0,105.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
47,2026-01-27 08:48:01-05:00,105.0,105.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
48,2026-01-27 09:34:01-05:00,106.0,104.0,21.0,22.0,-77.0,-76.0,154M,154.0,anonymized_sample
49,2026-01-27 10:20:02-05:00,106.0,104.0,21.0,23.0,-77.0,-75.0,154M,154.0,anonymized_sample
50,2026-01-27 11:06:01-05:00,104.0,105.0,22.0,24.0,-76.0,-74.0,103M,103.0,anonymized_sample
51,2026-01-27 11:53:01-05:00,105.0,104.0,21.0,23.0,-77.0,-75.0,137M,137.0,anonymized_sample
52,2026-01-27 12:40:01-05:00,104.0,105.0,22.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
53,2026-01-27 13:27:01-05:00,105.0,104.0,22.0,23.0,-76.0,-75.0,137M,137.0,anonymized_sample
54,2026-01-27 14:15:01-05:00,105.0,104.0,21.0,22.0,-77.0,-76.0,137M,137.0,anonymized_sample
55,2026-01-27 15:00:01-05:00,105.0,105.0,21.0,23.0,-75.0,-75.0,137M,137.0,anonymized_sample
56,2026-01-27 15:49:01-05:00,104.0,105.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
57,2026-01-27 16:35:01-05:00,105.0,104.0,22.0,22.0,-75.0,-76.0,137M,137.0,anonymized_sample
58,2026-01-27 17:21:01-05:00,104.0,104.0,21.0,22.0,-77.0,-76.0,103M,103.0,anonymized_sample
59,2026-01-27 18:10:01-05:00,105.0,104.0,22.0,22.0,-76.0,-76.0,137M,137.0,anonymized_sample
60,2026-01-27 18:54:01-05:00,104.0,104.0,21.0,22.0,-76.0,-76.0,103M,103.0,anonymized_sample
61,2026-01-27 19:41:01-05:00,104.0,104.0,22.0,21.0,-76.0,-77.0,103M,103.0,anonymized_sample
62,2026-01-27 20:24:01-05:00,104.0,105.0,22.0,21.0,-75.0,-77.0,103M,103.0,anonymized_sample
