feature,importance_regression,importance_classification,importance_mean
mcs_norm,0.4321561050019892,0.2390582000129859,0.3356071525074875
dl_mcs,0.418283218976725,0.2321977133025036,0.3252404661396143
mcs_volatility_score,0.0148567258125898,0.0713276087314732,0.0430921672720315
dl_mcs_std_15m,0.0146537884892221,0.0699589906836257,0.0423063895864239
rf_quality_score,0.0071784058534423,0.0487583991540742,0.0279684025037582
dl_mcs_slope_15m,0.0091716357038764,0.0434613120932619,0.0263164738985692
mcs_trend_score,0.0088030598903294,0.0379191747239347,0.0233611173071321
idoe_base,0.0074363086198265,0.0381076750730851,0.0227719918464558
d_idoe,0.0202623341377567,0.0247077945290191,0.0224850643333879
temporal_stability_score,0.0184437742643792,0.0246053415037829,0.021524557884081
dl_snr_db_slope_15m,0.004587280622427,0.0307889823834127,0.0176881315029199
snr_norm,0.0109149406010213,0.0189640748489582,0.0149395077249897
